block,RT,image,position,response,order,environment,condition,location,binary,label
1,585,soap18,8,-1,1,soap,a,indoor,0,soap
2,464,soap24,2,1,1,soap,a,indoor,1,soap
3,683,soap03,23,-1,1,soap,a,indoor,0,soap
4,648,soap09,17,-1,1,soap,a,indoor,0,soap
5,655,soap05,21,-1,1,soap,a,indoor,0,soap
6,723,microwave10,16,-1,1,microwave,a,indoor,0,microwave
7,900,microwave21,5,1,1,microwave,a,indoor,1,microwave
8,663,microwave23,3,1,1,microwave,a,indoor,1,microwave
9,559,microwave02,24,-1,1,microwave,a,indoor,0,microwave
10,820,microwave08,18,-1,1,microwave,a,indoor,0,microwave
11,429,lamp14,12,-1,1,lamp,a,indoor,0,lamp
12,662,lamp04,22,-1,1,lamp,a,indoor,0,lamp
13,1177,lamp25,1,1,1,lamp,a,indoor,1,lamp
14,1109,lamp20,6,-1,1,lamp,a,indoor,0,lamp
15,594,lamp15,11,-1,1,lamp,a,indoor,0,lamp
16,1092,firealarm22,4,1,1,firealarm,a,indoor,1,firealarm
17,511,firealarm12,14,-1,1,firealarm,a,indoor,0,firealarm
18,333,firealarm07,19,1,1,firealarm,a,indoor,1,firealarm
19,1146,firealarm19,7,1,1,firealarm,a,indoor,1,firealarm
20,698,firealarm01,25,-1,1,firealarm,a,indoor,0,firealarm
21,690,candle11,15,-1,1,candle,a,indoor,0,candle
22,984,candle17,9,-1,1,candle,a,indoor,0,candle
23,711,candle06,20,-1,1,candle,a,indoor,0,candle
24,1614,candle16,10,1,1,candle,a,indoor,1,candle
25,816,candle13,13,-1,1,candle,a,indoor,0,candle
26,1280,vase25,1,1,1,vase,a,indoor,1,vase
27,1184,vase17,9,1,1,vase,a,indoor,1,vase
28,1270,vase21,5,-1,1,vase,a,indoor,0,vase
29,599,vase22,4,-1,1,vase,a,indoor,0,vase
30,1862,vase04,22,1,1,vase,a,indoor,1,vase
31,704,kettle12,14,-1,1,kettle,a,indoor,0,kettle
32,540,kettle19,7,-1,1,kettle,a,indoor,0,kettle
33,447,kettle23,3,1,1,kettle,a,indoor,1,kettle
34,459,kettle03,23,-1,1,kettle,a,indoor,0,kettle
35,831,kettle01,25,-1,1,kettle,a,indoor,0,kettle
36,1119,dvdplayer11,15,-1,1,dvdplayer,a,indoor,0,dvdplayer
37,453,dvdplayer20,6,1,1,dvdplayer,a,indoor,1,dvdplayer
38,1268,dvdplayer13,13,-1,1,dvdplayer,a,indoor,0,dvdplayer
39,696,dvdplayer02,24,-1,1,dvdplayer,a,indoor,0,dvdplayer
40,553,dvdplayer05,21,-1,1,dvdplayer,a,indoor,0,dvdplayer
41,619,mouse14,12,1,1,mouse,a,indoor,1,mouse
42,547,mouse24,2,1,1,mouse,a,indoor,1,mouse
43,769,mouse09,17,-1,1,mouse,a,indoor,0,mouse
44,1220,mouse10,16,-1,1,mouse,a,indoor,0,mouse
45,759,mouse06,20,-1,1,mouse,a,indoor,0,mouse
46,618,pottedplant16,10,1,1,pottedplant,a,indoor,1,pottedplant
47,1688,pottedplant18,8,-1,1,pottedplant,a,indoor,0,pottedplant
48,664,pottedplant07,19,-1,1,pottedplant,a,indoor,0,pottedplant
49,699,pottedplant15,11,1,1,pottedplant,a,indoor,1,pottedplant
50,563,pottedplant08,18,-1,1,pottedplant,a,indoor,0,pottedplant
51,767,pitchfork20,6,1,1,pitchfork,a,outdoor,1,pitchfork
52,1771,pitchfork04,22,1,1,pitchfork,a,outdoor,1,pitchfork
53,478,pitchfork22,4,1,1,pitchfork,a,outdoor,1,pitchfork
54,751,pitchfork18,8,-1,1,pitchfork,a,outdoor,0,pitchfork
55,627,pitchfork09,17,1,1,pitchfork,a,outdoor,1,pitchfork
56,460,bird15,11,-1,1,bird,a,outdoor,0,bird
57,532,bird19,7,-1,1,bird,a,outdoor,0,bird
58,520,bird01,25,-1,1,bird,a,outdoor,0,bird
59,1275,bird23,3,-1,1,bird,a,outdoor,0,bird
60,468,bird08,18,-1,1,bird,a,outdoor,0,bird
61,604,mailbox14,12,-1,1,mailbox,a,outdoor,0,mailbox
62,841,mailbox06,20,-1,1,mailbox,a,outdoor,0,mailbox
63,413,mailbox11,15,-1,1,mailbox,a,outdoor,0,mailbox
64,564,mailbox12,14,-1,1,mailbox,a,outdoor,0,mailbox
65,1009,mailbox21,5,-1,1,mailbox,a,outdoor,0,mailbox
66,668,frog24,2,-1,1,frog,a,outdoor,0,frog
67,1361,frog16,10,-1,1,frog,a,outdoor,0,frog
68,1676,frog05,21,1,1,frog,a,outdoor,1,frog
69,2109,frog25,1,1,1,frog,a,outdoor,1,frog
70,1229,frog03,23,-1,1,frog,a,outdoor,0,frog
71,852,cactus07,19,-1,1,cactus,a,outdoor,0,cactus
72,460,cactus13,13,-1,1,cactus,a,outdoor,0,cactus
73,391,cactus10,16,-1,1,cactus,a,outdoor,0,cactus
74,1511,cactus17,9,-1,1,cactus,a,outdoor,0,cactus
75,519,cactus02,24,-1,1,cactus,a,outdoor,0,cactus
76,602,bottle22,4,1,1,bottle,a,outdoor,1,bottle
