,condition,environment,bootstraps
0,small,ashtray,3.0
1,small,ashtray,4.6
2,small,ashtray,4.2
3,small,ashtray,3.0
4,small,ashtray,2.3333333333333335
5,small,ashtray,5.166666666666667
6,small,ashtray,7.285714285714286
7,small,ashtray,3.3333333333333335
8,small,ashtray,5.0
9,small,ashtray,5.2
10,small,ashtray,2.3333333333333335
11,small,ashtray,6.857142857142857
12,small,ashtray,3.8
13,small,ashtray,4.6
14,small,ashtray,4.6
15,small,ashtray,3.0
16,small,ashtray,3.6
17,small,ashtray,4.6
18,small,ashtray,3.8
19,small,ashtray,2.6666666666666665
20,small,ashtray,4.8
21,small,ashtray,4.6
22,small,ashtray,2.6666666666666665
23,small,ashtray,4.4
24,small,ashtray,5.0
25,small,ashtray,9.5
26,small,ashtray,4.6
27,small,ashtray,5.0
28,small,ashtray,4.571428571428571
29,small,ashtray,5.4
30,small,ashtray,7.0
31,small,ashtray,2.6666666666666665
32,small,ashtray,5.0
33,small,ashtray,3.4
34,small,ashtray,4.875
35,small,ashtray,3.4
36,small,ashtray,6.142857142857143
37,small,ashtray,9.2
38,small,ashtray,4.6
39,small,ashtray,5.25
40,small,ashtray,2.6666666666666665
41,small,ashtray,5.4
42,small,ashtray,5.8
43,small,ashtray,3.0
44,small,ashtray,7.571428571428571
45,small,ashtray,2.6666666666666665
46,small,ashtray,3.0
47,small,ashtray,2.6666666666666665
48,small,ashtray,4.285714285714286
49,small,ashtray,6.6
50,small,ashtray,3.3333333333333335
51,small,ashtray,2.6666666666666665
52,small,ashtray,2.3333333333333335
53,small,ashtray,3.5
54,small,ashtray,2.6666666666666665
55,small,ashtray,6.6
56,small,ashtray,1.0
57,small,ashtray,4.0
58,small,ashtray,4.6
59,small,ashtray,3.0
60,small,ashtray,2.6666666666666665
61,small,ashtray,7.666666666666667
62,small,ashtray,5.888888888888889
63,small,ashtray,2.6666666666666665
64,small,ashtray,3.5
65,small,ashtray,4.857142857142857
66,small,ashtray,4.2
67,small,ashtray,2.3333333333333335
68,small,ashtray,4.8
69,small,ashtray,6.428571428571429
70,small,ashtray,3.5
71,small,ashtray,3.0
72,small,ashtray,5.0
73,small,ashtray,8.0
74,small,ashtray,2.6666666666666665
75,small,ashtray,5.0
76,small,ashtray,4.0
77,small,ashtray,2.6666666666666665
78,small,ashtray,3.3333333333333335
79,small,ashtray,2.3333333333333335
80,small,ashtray,6.6
81,small,ashtray,4.2
82,small,ashtray,2.6666666666666665
83,small,ashtray,3.0
84,small,ashtray,3.0
85,small,ashtray,4.2
86,small,ashtray,3.6
87,small,ashtray,2.0
88,small,ashtray,4.8
89,small,ashtray,2.6666666666666665
90,small,ashtray,6.4
91,small,ashtray,2.3333333333333335
92,small,ashtray,4.6
93,small,ashtray,6.4
94,small,ashtray,3.0
95,small,ashtray,8.0
96,small,ashtray,5.166666666666667
97,small,ashtray,7.285714285714286
98,small,ashtray,4.0
99,small,ashtray,10.333333333333334
100,small,ashtray,2.3333333333333335
101,small,ashtray,5.0
102,small,ashtray,4.2
103,small,ashtray,7.0
104,small,ashtray,4.428571428571429
105,small,ashtray,3.0
106,small,ashtray,3.5
107,small,ashtray,3.0
108,small,ashtray,6.6
109,small,ashtray,2.6666666666666665
110,small,ashtray,6.166666666666667
111,small,ashtray,3.0
112,small,ashtray,5.2
113,small,ashtray,5.0
114,small,ashtray,3.6
115,small,ashtray,4.6
116,small,ashtray,2.6666666666666665
117,small,ashtray,2.6666666666666665
118,small,ashtray,5.6
119,small,ashtray,4.8
120,small,ashtray,5.25
121,small,ashtray,4.833333333333333
122,small,ashtray,3.0
123,small,ashtray,3.0
124,small,ashtray,5.714285714285714
125,small,ashtray,3.0
126,small,ashtray,5.6
127,small,ashtray,1.0
128,small,ashtray,6.6
129,small,ashtray,4.8
130,small,ashtray,7.25
131,small,ashtray,5.4
132,small,ashtray,3.0
133,small,ashtray,4.285714285714286
134,small,ashtray,2.3333333333333335
135,small,ashtray,2.3333333333333335
136,small,ashtray,7.0
137,small,ashtray,3.0
138,small,ashtray,5.0
139,small,ashtray,3.0
140,small,ashtray,6.8
141,small,ashtray,4.0
142,small,ashtray,4.8
143,small,ashtray,7.0
144,small,ashtray,4.6
145,small,ashtray,3.6
146,small,ashtray,2.0
147,small,ashtray,2.6666666666666665
148,small,ashtray,2.6666666666666665
149,small,ashtray,3.0
150,small,ashtray,5.0
151,small,ashtray,4.8
152,small,ashtray,3.0
153,small,ashtray,3.4
154,small,ashtray,4.666666666666667
155,small,ashtray,5.0
156,small,ashtray,2.6666666666666665
157,small,ashtray,2.3333333333333335
158,small,ashtray,7.375
159,small,ashtray,2.0
160,small,ashtray,6.625
161,small,ashtray,7.0
162,small,ashtray,2.6666666666666665
163,small,ashtray,2.6666666666666665
164,small,ashtray,6.166666666666667
165,small,ashtray,7.2
166,small,ashtray,4.333333333333333
167,small,ashtray,6.777777777777778
168,small,ashtray,2.6666666666666665
169,small,ashtray,6.4
