image,environment,condition,label,block,RT,position,response,order,binary,preferred,distance_from_optimal,pixels,log_pixels,group,scene
ashtray01,ashtray,a,ashtray,83.0,558.5681818181819,25.0,-0.5,1.0,0.25,3.2899999999999996,21.71,93.0,4.532599493153256,small,ashtray
ashtray01,ashtray,b,table,83.0,575.75,25.0,-0.45454545454545453,1.0,0.2727272727272727,8.62,16.380000000000003,2244.0,7.716015266642587,big,ashtray
ashtray01,ashtray,c,ashtray,83.0,495.72727272727275,25.0,-0.13636363636363635,4.0,0.4318181818181818,3.2899999999999996,21.71,0.0,-inf,none,ashtray
ashtray02,ashtray,a,ashtray,83.0,524.5454545454545,24.0,-0.5,3.0,0.25,3.2899999999999996,20.71,95.0,4.553876891600541,small,ashtray
ashtray02,ashtray,b,table,83.0,531.4888888888889,24.0,-0.2,3.0,0.4,8.62,15.38,2359.0,7.765993079407675,big,ashtray
ashtray02,ashtray,c,ashtray,84.0,469.54545454545456,24.0,-0.09090909090909091,4.0,0.45454545454545453,3.2899999999999996,20.71,0.0,-inf,none,ashtray
ashtray03,ashtray,a,ashtray,83.0,467.90909090909093,23.0,-0.45454545454545453,2.0,0.2727272727272727,3.2899999999999996,19.71,84.0,4.430816798843313,small,ashtray
ashtray03,ashtray,b,table,83.0,687.5116279069767,23.0,-0.3953488372093023,2.0,0.3023255813953488,8.62,14.38,2529.0,7.835579246669965,big,ashtray
ashtray03,ashtray,c,ashtray,84.0,571.6,23.0,-0.37777777777777777,1.0,0.3111111111111111,3.29,19.71,0.0,-inf,none,ashtray
ashtray04,ashtray,a,ashtray,82.0,557.8863636363636,22.0,-0.5909090909090909,4.0,0.20454545454545456,3.2899999999999996,18.71,92.0,4.5217885770490405,small,ashtray
ashtray04,ashtray,b,table,82.0,589.0,22.0,-0.3181818181818182,4.0,0.3409090909090909,8.62,13.38,3030.0,8.016317898503415,big,ashtray
ashtray04,ashtray,c,ashtray,83.0,571.4444444444445,22.0,0.3333333333333333,2.0,0.6666666666666666,3.29,18.71,0.0,-inf,none,ashtray
ashtray05,ashtray,a,ashtray,83.0,534.0222222222222,21.0,-0.4666666666666667,5.0,0.26666666666666666,3.29,17.71,111.0,4.709530201312334,small,ashtray
ashtray05,ashtray,b,table,83.0,691.9555555555555,21.0,-0.24444444444444444,5.0,0.37777777777777777,8.62,12.38,3440.0,8.143226750367445,big,ashtray
ashtray05,ashtray,c,ashtray,81.0,624.2272727272727,21.0,-0.13636363636363635,4.0,0.4318181818181818,3.2899999999999996,17.71,0.0,-inf,none,ashtray
ashtray06,ashtray,a,ashtray,84.0,524.6818181818181,20.0,-0.3181818181818182,2.0,0.3409090909090909,3.2899999999999996,16.71,128.0,4.852030263919617,small,ashtray
